款号,Midjourney提示词,包装提示词,Runway视频提示词
ND10-001,"Premium press-on nail design, SKU ND10-001, collection Minimal Office 极简通勤系列, 杏仁 shape, 中 length, main color 奶茶裸, secondary color 透明, technique 贝壳片, detail 蝴蝶结, 高级感 aesthetics, for 拍照, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND10-001, primary package color 米白, visual language from Minimal Office 极简通勤系列, include hook line: '贝壳片 finish with 蝴蝶结, 高级感 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND10-001. Start with macro close-up of 贝壳片 detail, transition to hand movement in 拍照 context, highlight 奶茶裸 and 透明, show packaging in 米白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 蝴蝶结, 高级感 vibe for 拍照"
ND10-002,"Premium press-on nail design, SKU ND10-002, collection Minimal Office 极简通勤系列, 杏仁 shape, 中 length, main color 樱花粉, secondary color 香槟金, technique 珍珠贴, detail 星点, 极简 aesthetics, for 旅行, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND10-002, primary package color 珠光白, visual language from Minimal Office 极简通勤系列, include hook line: '珍珠贴 finish with 星点, 极简 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND10-002. Start with macro close-up of 珍珠贴 detail, transition to hand movement in 旅行 context, highlight 樱花粉 and 香槟金, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 珍珠贴 finish with 星点, 极简 vibe for 旅行"
ND10-003,"Premium press-on nail design, SKU ND10-003, collection Minimal Office 极简通勤系列, 杏仁 shape, 短 length, main color 奶茶裸, secondary color 冰蓝, technique 手绘花, detail 珍珠, 高级感 aesthetics, for 派对, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND10-003, primary package color 海盐蓝, visual language from Minimal Office 极简通勤系列, include hook line: '手绘花 finish with 珍珠, 高级感 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND10-003. Start with macro close-up of 手绘花 detail, transition to hand movement in 派对 context, highlight 奶茶裸 and 冰蓝, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 珍珠, 高级感 vibe for 派对"
ND10-004,"Premium press-on nail design, SKU ND10-004, collection Minimal Office 极简通勤系列, 方圆 shape, 中 length, main color 海盐蓝, secondary color 冰蓝, technique 渐变, detail 星点, 轻奢 aesthetics, for 派对, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND10-004, primary package color 浅紫, visual language from Minimal Office 极简通勤系列, include hook line: '渐变 finish with 星点, 轻奢 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND10-004. Start with macro close-up of 渐变 detail, transition to hand movement in 派对 context, highlight 海盐蓝 and 冰蓝, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 星点, 轻奢 vibe for 派对"
ND10-005,"Premium press-on nail design, SKU ND10-005, collection Minimal Office 极简通勤系列, 椭圆 shape, 中 length, main color 奶茶裸, secondary color 珠光白, technique 立体滴胶, detail 爱心, 轻奢 aesthetics, for 通勤, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND10-005, primary package color 海盐蓝, visual language from Minimal Office 极简通勤系列, include hook line: '立体滴胶 finish with 爱心, 轻奢 vibe for 通勤', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND10-005. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 通勤 context, highlight 奶茶裸 and 珠光白, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 爱心, 轻奢 vibe for 通勤"
ND10-006,"Premium press-on nail design, SKU ND10-006, collection Minimal Office 极简通勤系列, 短方 shape, 短 length, main color 银铬, secondary color 珠光白, technique 镜面粉, detail 星点, 甜美 aesthetics, for 拍照, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND10-006, primary package color 淡粉, visual language from Minimal Office 极简通勤系列, include hook line: '镜面粉 finish with 星点, 甜美 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND10-006. Start with macro close-up of 镜面粉 detail, transition to hand movement in 拍照 context, highlight 银铬 and 珠光白, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 星点, 甜美 vibe for 拍照"
ND10-007,"Premium press-on nail design, SKU ND10-007, collection Minimal Office 极简通勤系列, 椭圆 shape, 中长 length, main color 薰衣草紫, secondary color 透明, technique 手绘花, detail 珍珠, 轻奢 aesthetics, for 日常, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND10-007, primary package color 米白, visual language from Minimal Office 极简通勤系列, include hook line: '手绘花 finish with 珍珠, 轻奢 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND10-007. Start with macro close-up of 手绘花 detail, transition to hand movement in 日常 context, highlight 薰衣草紫 and 透明, show packaging in 米白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 珍珠, 轻奢 vibe for 日常"
ND10-008,"Premium press-on nail design, SKU ND10-008, collection Minimal Office 极简通勤系列, 芭蕾 shape, 中 length, main color 酒红, secondary color 香槟金, technique 立体滴胶, detail 水波纹, 甜美 aesthetics, for 拍照, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND10-008, primary package color 银灰, visual language from Minimal Office 极简通勤系列, include hook line: '立体滴胶 finish with 水波纹, 甜美 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND10-008. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 拍照 context, highlight 酒红 and 香槟金, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 水波纹, 甜美 vibe for 拍照"
ND10-009,"Premium press-on nail design, SKU ND10-009, collection Minimal Office 极简通勤系列, 杏仁 shape, 中 length, main color 豆沙粉, secondary color 珠光白, technique 镜面粉, detail 蝴蝶结, 高级感 aesthetics, for 派对, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND10-009, primary package color 浅紫, visual language from Minimal Office 极简通勤系列, include hook line: '镜面粉 finish with 蝴蝶结, 高级感 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND10-009. Start with macro close-up of 镜面粉 detail, transition to hand movement in 派对 context, highlight 豆沙粉 and 珠光白, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 蝴蝶结, 高级感 vibe for 派对"
ND10-010,"Premium press-on nail design, SKU ND10-010, collection Minimal Office 极简通勤系列, 芭蕾 shape, 中长 length, main color 银铬, secondary color 亮银, technique 手绘花, detail 碎钻, 极简 aesthetics, for 日常, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND10-010, primary package color 海盐蓝, visual language from Minimal Office 极简通勤系列, include hook line: '手绘花 finish with 碎钻, 极简 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND10-010. Start with macro close-up of 手绘花 detail, transition to hand movement in 日常 context, highlight 银铬 and 亮银, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 碎钻, 极简 vibe for 日常"
ND11-001,"Premium press-on nail design, SKU ND11-001, collection Chrome City 都市铬光系列, 杏仁 shape, 短 length, main color 薰衣草紫, secondary color 透明, technique 猫眼, detail 珍珠, 通勤 aesthetics, for 约会, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND11-001, primary package color 淡粉, visual language from Chrome City 都市铬光系列, include hook line: '猫眼 finish with 珍珠, 通勤 vibe for 约会', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND11-001. Start with macro close-up of 猫眼 detail, transition to hand movement in 约会 context, highlight 薰衣草紫 and 透明, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 猫眼 finish with 珍珠, 通勤 vibe for 约会"
ND11-002,"Premium press-on nail design, SKU ND11-002, collection Chrome City 都市铬光系列, 芭蕾 shape, 短 length, main color 奶油白, secondary color 珠光白, technique 珍珠贴, detail 碎钻, 高级感 aesthetics, for 婚礼, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND11-002, primary package color 米白, visual language from Chrome City 都市铬光系列, include hook line: '珍珠贴 finish with 碎钻, 高级感 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND11-002. Start with macro close-up of 珍珠贴 detail, transition to hand movement in 婚礼 context, highlight 奶油白 and 珠光白, show packaging in 米白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 珍珠贴 finish with 碎钻, 高级感 vibe for 婚礼"
ND11-003,"Premium press-on nail design, SKU ND11-003, collection Chrome City 都市铬光系列, 杏仁 shape, 中长 length, main color 酒红, secondary color 透明, technique 立体滴胶, detail 蝴蝶结, 轻奢 aesthetics, for 拍照, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND11-003, primary package color 浅紫, visual language from Chrome City 都市铬光系列, include hook line: '立体滴胶 finish with 蝴蝶结, 轻奢 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND11-003. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 拍照 context, highlight 酒红 and 透明, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 蝴蝶结, 轻奢 vibe for 拍照"
ND11-004,"Premium press-on nail design, SKU ND11-004, collection Chrome City 都市铬光系列, 方圆 shape, 中长 length, main color 奶油白, secondary color 冰蓝, technique 镜面粉, detail 珍珠, 高级感 aesthetics, for 通勤, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND11-004, primary package color 淡粉, visual language from Chrome City 都市铬光系列, include hook line: '镜面粉 finish with 珍珠, 高级感 vibe for 通勤', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND11-004. Start with macro close-up of 镜面粉 detail, transition to hand movement in 通勤 context, highlight 奶油白 and 冰蓝, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 珍珠, 高级感 vibe for 通勤"
ND11-005,"Premium press-on nail design, SKU ND11-005, collection Chrome City 都市铬光系列, 椭圆 shape, 中 length, main color 奶油白, secondary color 亮银, technique 渐变, detail 蝴蝶结, 甜美 aesthetics, for 派对, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND11-005, primary package color 海盐蓝, visual language from Chrome City 都市铬光系列, include hook line: '渐变 finish with 蝴蝶结, 甜美 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND11-005. Start with macro close-up of 渐变 detail, transition to hand movement in 派对 context, highlight 奶油白 and 亮银, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 蝴蝶结, 甜美 vibe for 派对"
ND11-006,"Premium press-on nail design, SKU ND11-006, collection Chrome City 都市铬光系列, 芭蕾 shape, 中 length, main color 薰衣草紫, secondary color 亮银, technique 法式描边, detail 爱心, 氛围感 aesthetics, for 拍照, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND11-006, primary package color 米白, visual language from Chrome City 都市铬光系列, include hook line: '法式描边 finish with 爱心, 氛围感 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND11-006. Start with macro close-up of 法式描边 detail, transition to hand movement in 拍照 context, highlight 薰衣草紫 and 亮银, show packaging in 米白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 法式描边 finish with 爱心, 氛围感 vibe for 拍照"
ND11-007,"Premium press-on nail design, SKU ND11-007, collection Chrome City 都市铬光系列, 椭圆 shape, 短 length, main color 酒红, secondary color 浅粉, technique 镜面粉, detail 珍珠, 高级感 aesthetics, for 婚礼, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND11-007, primary package color 海盐蓝, visual language from Chrome City 都市铬光系列, include hook line: '镜面粉 finish with 珍珠, 高级感 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND11-007. Start with macro close-up of 镜面粉 detail, transition to hand movement in 婚礼 context, highlight 酒红 and 浅粉, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 珍珠, 高级感 vibe for 婚礼"
ND11-008,"Premium press-on nail design, SKU ND11-008, collection Chrome City 都市铬光系列, 椭圆 shape, 中长 length, main color 奶茶裸, secondary color 香槟金, technique 渐变, detail 星点, 高级感 aesthetics, for 拍照, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND11-008, primary package color 淡粉, visual language from Chrome City 都市铬光系列, include hook line: '渐变 finish with 星点, 高级感 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND11-008. Start with macro close-up of 渐变 detail, transition to hand movement in 拍照 context, highlight 奶茶裸 and 香槟金, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 星点, 高级感 vibe for 拍照"
ND11-009,"Premium press-on nail design, SKU ND11-009, collection Chrome City 都市铬光系列, 椭圆 shape, 中 length, main color 海盐蓝, secondary color 玫瑰金, technique 镜面粉, detail 几何线条, 通勤 aesthetics, for 通勤, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND11-009, primary package color 珠光白, visual language from Chrome City 都市铬光系列, include hook line: '镜面粉 finish with 几何线条, 通勤 vibe for 通勤', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND11-009. Start with macro close-up of 镜面粉 detail, transition to hand movement in 通勤 context, highlight 海盐蓝 and 玫瑰金, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 几何线条, 通勤 vibe for 通勤"
ND11-010,"Premium press-on nail design, SKU ND11-010, collection Chrome City 都市铬光系列, 椭圆 shape, 中 length, main color 薰衣草紫, secondary color 珠光白, technique 渐变, detail 碎钻, 轻奢 aesthetics, for 派对, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND11-010, primary package color 淡粉, visual language from Chrome City 都市铬光系列, include hook line: '渐变 finish with 碎钻, 轻奢 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND11-010. Start with macro close-up of 渐变 detail, transition to hand movement in 派对 context, highlight 薰衣草紫 and 珠光白, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 碎钻, 轻奢 vibe for 派对"
ND12-001,"Premium press-on nail design, SKU ND12-001, collection Vacation Mani 度假手足系列, 杏仁 shape, 中 length, main color 果冻橙, secondary color 珠光白, technique 立体滴胶, detail 珍珠, 极简 aesthetics, for 旅行, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND12-001, primary package color 浅紫, visual language from Vacation Mani 度假手足系列, include hook line: '立体滴胶 finish with 珍珠, 极简 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND12-001. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 旅行 context, highlight 果冻橙 and 珠光白, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 珍珠, 极简 vibe for 旅行"
ND12-002,"Premium press-on nail design, SKU ND12-002, collection Vacation Mani 度假手足系列, 方圆 shape, 短 length, main color 酒红, secondary color 透明, technique 手绘花, detail 水波纹, 氛围感 aesthetics, for 日常, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND12-002, primary package color 浅紫, visual language from Vacation Mani 度假手足系列, include hook line: '手绘花 finish with 水波纹, 氛围感 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND12-002. Start with macro close-up of 手绘花 detail, transition to hand movement in 日常 context, highlight 酒红 and 透明, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 水波纹, 氛围感 vibe for 日常"
ND12-003,"Premium press-on nail design, SKU ND12-003, collection Vacation Mani 度假手足系列, 椭圆 shape, 中长 length, main color 酒红, secondary color 雾灰, technique 珍珠贴, detail 几何线条, 氛围感 aesthetics, for 婚礼, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND12-003, primary package color 银灰, visual language from Vacation Mani 度假手足系列, include hook line: '珍珠贴 finish with 几何线条, 氛围感 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND12-003. Start with macro close-up of 珍珠贴 detail, transition to hand movement in 婚礼 context, highlight 酒红 and 雾灰, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 珍珠贴 finish with 几何线条, 氛围感 vibe for 婚礼"
ND12-004,"Premium press-on nail design, SKU ND12-004, collection Vacation Mani 度假手足系列, 杏仁 shape, 短 length, main color 果冻橙, secondary color 玫瑰金, technique 猫眼, detail 星点, 通勤 aesthetics, for 约会, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND12-004, primary package color 浅紫, visual language from Vacation Mani 度假手足系列, include hook line: '猫眼 finish with 星点, 通勤 vibe for 约会', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND12-004. Start with macro close-up of 猫眼 detail, transition to hand movement in 约会 context, highlight 果冻橙 and 玫瑰金, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 猫眼 finish with 星点, 通勤 vibe for 约会"
ND12-005,"Premium press-on nail design, SKU ND12-005, collection Vacation Mani 度假手足系列, 芭蕾 shape, 中长 length, main color 酒红, secondary color 珠光白, technique 手绘花, detail 水波纹, 极简 aesthetics, for 拍照, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND12-005, primary package color 淡粉, visual language from Vacation Mani 度假手足系列, include hook line: '手绘花 finish with 水波纹, 极简 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND12-005. Start with macro close-up of 手绘花 detail, transition to hand movement in 拍照 context, highlight 酒红 and 珠光白, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 水波纹, 极简 vibe for 拍照"
ND12-006,"Premium press-on nail design, SKU ND12-006, collection Vacation Mani 度假手足系列, 芭蕾 shape, 中 length, main color 酒红, secondary color 浅粉, technique 猫眼, detail 几何线条, 轻奢 aesthetics, for 旅行, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND12-006, primary package color 浅紫, visual language from Vacation Mani 度假手足系列, include hook line: '猫眼 finish with 几何线条, 轻奢 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND12-006. Start with macro close-up of 猫眼 detail, transition to hand movement in 旅行 context, highlight 酒红 and 浅粉, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 猫眼 finish with 几何线条, 轻奢 vibe for 旅行"
ND12-007,"Premium press-on nail design, SKU ND12-007, collection Vacation Mani 度假手足系列, 杏仁 shape, 中 length, main color 海盐蓝, secondary color 玫瑰金, technique 手绘花, detail 星点, 高级感 aesthetics, for 约会, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND12-007, primary package color 珠光白, visual language from Vacation Mani 度假手足系列, include hook line: '手绘花 finish with 星点, 高级感 vibe for 约会', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND12-007. Start with macro close-up of 手绘花 detail, transition to hand movement in 约会 context, highlight 海盐蓝 and 玫瑰金, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 星点, 高级感 vibe for 约会"
ND12-008,"Premium press-on nail design, SKU ND12-008, collection Vacation Mani 度假手足系列, 芭蕾 shape, 中 length, main color 酒红, secondary color 透明, technique 立体滴胶, detail 金箔, 甜美 aesthetics, for 旅行, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND12-008, primary package color 珠光白, visual language from Vacation Mani 度假手足系列, include hook line: '立体滴胶 finish with 金箔, 甜美 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND12-008. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 旅行 context, highlight 酒红 and 透明, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 金箔, 甜美 vibe for 旅行"
ND12-009,"Premium press-on nail design, SKU ND12-009, collection Vacation Mani 度假手足系列, 芭蕾 shape, 中长 length, main color 酒红, secondary color 冰蓝, technique 渐变, detail 爱心, 极简 aesthetics, for 拍照, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND12-009, primary package color 珠光白, visual language from Vacation Mani 度假手足系列, include hook line: '渐变 finish with 爱心, 极简 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND12-009. Start with macro close-up of 渐变 detail, transition to hand movement in 拍照 context, highlight 酒红 and 冰蓝, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 爱心, 极简 vibe for 拍照"
ND12-010,"Premium press-on nail design, SKU ND12-010, collection Vacation Mani 度假手足系列, 杏仁 shape, 中长 length, main color 酒红, secondary color 冰蓝, technique 法式描边, detail 蝴蝶结, 氛围感 aesthetics, for 通勤, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND12-010, primary package color 珠光白, visual language from Vacation Mani 度假手足系列, include hook line: '法式描边 finish with 蝴蝶结, 氛围感 vibe for 通勤', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND12-010. Start with macro close-up of 法式描边 detail, transition to hand movement in 通勤 context, highlight 酒红 and 冰蓝, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 法式描边 finish with 蝴蝶结, 氛围感 vibe for 通勤"
